category,Resto_name,Dishes_one,Dishes_two,Dishes_three,Dishes_four,Dishes_five,Dishes_six,Dishes_seven,Dishes_eight,Dishes_nine,Dishes_ten,locality_verbose
American,25 Mushroom Kitchen,Mushroom Burger, Mushroom Pasta, Mushroom Risotto, Mushroom Soup, Mushroom Omelette, Mushroom Pizza, Mushroom Steak, Mushroom Salad, Mushroom Curry, Mushroom Stir-Fry,"Molito Commercial Complex, Alabang, Mutinlupa City, Muntinlupa City"
American Desserts,26th St. Bistro by The Coffee Bean & Tea Leaf,Pasta Carbonara, Club Sandwich, Eggs Benedict, Caesar Salad, Chicken Alfredo, Tuna Melt, Mushroom Soup, Croissant Sandwich, Chocolate Cake, Apple Pie,"Shangri-La Plaza, Ortigas, Mandaluyong City, Mandaluyong City"
American Desserts,26th St. Bistro by The Coffee Bean & Tea Leaf,Pasta Carbonara, Club Sandwich, Eggs Benedict, Caesar Salad, Chicken Alfredo, Tuna Melt, Mushroom Soup, Croissant Sandwich, Chocolate Cake, Apple Pie,"Net Lima, Bonifacio Global City, Taguig City, Taguig City"
Coffee,3rd Wave Coffee by GB,Pour-Over Coffee, Cold Brew, Chemex Coffee, Espresso, Latte, Cappuccino, Americano, Mocha, Affogato, Iced Coffee,"District 89 Food Park, Banawe, Quezon City, Quezon City"
Spanish Italian Tex-Mex French,49-B Heirloom Kitchen,Paella, Adobo, Gambas, Churros, Croquetas, Jamon Serrano, Tortilla EspaÃ±ola, Empanadas, Tacos, Sangria,"Tomas Morato, Quezon City"
Coffee,4th Street Cafe ,Espresso, Latte, Cappuccino, Americano, Macchiato, Mocha, Flat White, Iced Coffee, Frappuccino, Cold Brew,"New Manila, Quezon City"
American Asian Turkish,5YNCO Bar,Burger, Tacos, Kebab, Shawarma, Falafel, Chicken Wings, Nachos, Quesadillas, Fries, Onion Rings,"Paligsahan, Quezon City"
Korean,678 Korean BBQ Restaurant,Samgyeopsal, Galbi, Bulgogi, Kimchi Jjigae, Bibimbap, Japchae, Haemul Pajeon, Korean Fried Chicken, Sundubu Jjigae, Tteokbokki,"SM by the Bay, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City"
Korean,678 Korean Snack House,Kimchi Fried Rice, Kimbap, Ramyun, Odeng, Jjajangmyeon, Gimbap, Tteokbokki, Soondae, Bingsu, Hotteok,"Newport City, Pasay City"
Filipino Coffee,75 Lilac Cafe+Kitchen,Silog, Tapsilog, Tosilog, Longsilog, Sisig, Adobo, Kare-Kare, Bulalo, Pancit Canton, Halo-Halo,"BENNT Building, Concepcion Dos, Marikina City, Marikina City"
Asian,7Flavors,Asian Buffet, Sushi, Korean BBQ, Chinese Dim Sum, Filipino Dishes, Pasta Station, Salad Bar, Dessert Buffet, Carving Station, Fresh Seafood,"Addition Hills, San Juan City"
Filipino International,7th Street - Eat.Laugh.Chat,Pasta, Pizza, Chicken Wings, Nachos, Burgers, Salads, Ribs, Milkshakes, Ice Cream, Cheesecake,"Marikina Heights, Marikina City"
American,8 Beats,Burger, Tacos, Chicken Wings, Nachos, Quesadillas, Fries, Onion Rings, Buffalo Chicken Dip, Mozzarella Sticks, Jalapeno Poppers,"Fisher Mall, Del Monte, Quezon City, Quezon City"
Japanese,8 Bowls,Ramen, Udon, Soba, Yakisoba, Tempura, Gyoza, Teriyaki Chicken, Katsu Curry, Donburi, Miso Soup,"Gateway Mall, Cubao, Quezon City, Quezon City"
Burger,8 Cuts Burger Blends,Cheeseburger, Bacon Burger, Mushroom Swiss Burger, BBQ Burger, Spicy Chicken Burger, Veggie Burger, Double Cheeseburger, Turkey Burger, Hawaiian Burger, Onion Burger,"Salcedo Village, Makati City"
Burger,8 Cuts Burger Blends,Cheeseburger, Bacon Burger, Mushroom Swiss Burger, BBQ Burger, Spicy Chicken Burger, Veggie Burger, Double Cheeseburger, Turkey Burger, Hawaiian Burger, Onion Burger,"Power Plant Mall, Rockwell, Makati City, Makati City"
Burger,8 Cuts Burger Blends,Cheeseburger, Bacon Burger, Mushroom Swiss Burger, BBQ Burger, Spicy Chicken Burger, Veggie Burger, Double Cheeseburger, Turkey Burger, Hawaiian Burger, Onion Burger,"Promenade, Greenhills Shopping Centre, Greenhills, San Juan City, San Juan City"
Burger,8 Cuts Burger Blends,Cheeseburger, Bacon Burger, Mushroom Swiss Burger, BBQ Burger, Spicy Chicken Burger, Veggie Burger, Double Cheeseburger, Turkey Burger, Hawaiian Burger, Onion Burger,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City"
Burger,8 Cuts Burger Blends,Cheeseburger, Bacon Burger, Mushroom Swiss Burger, BBQ Burger, Spicy Chicken Burger, Veggie Burger, Double Cheeseburger, Turkey Burger, Hawaiian Burger, Onion Burger,"Greenbelt 2, San Lorenzo, Makati City, Makati City"
Burger,8 Cuts Burger Blends,Cheeseburger, Bacon Burger, Mushroom Swiss Burger, BBQ Burger, Spicy Chicken Burger, Veggie Burger, Double Cheeseburger, Turkey Burger, Hawaiian Burger, Onion Burger,"South Wing, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City"
Burger,8 Cuts Burger Blends,Cheeseburger, Bacon Burger, Mushroom Swiss Burger, BBQ Burger, Spicy Chicken Burger, Veggie Burger, Double Cheeseburger, Turkey Burger, Hawaiian Burger, Onion Burger,"Alabang Town Center, Alabang, Muntinlupa City, Muntinlupa City"
Burger,8 Cuts Burger Blends,Cheeseburger, Bacon Burger, Mushroom Swiss Burger, BBQ Burger, Spicy Chicken Burger, Veggie Burger, Double Cheeseburger, Turkey Burger, Hawaiian Burger, Onion Burger,"Serendra, Bonifacio Global City, Taguig City, Taguig City"
American,8 Street Bites,Burger, Tacos, Shawarma, Kebab, Chicken Wings, Nachos, Fries, Onion Rings, Quesadillas, Hotdog,"SM City Manila, Ermita, Manila, Manila"
Filipino,8065 Bagnet,Bagnet, Kare-Kare, Pinakbet, Sinigang, Adobo, Bulalo, Lechon Kawali, Pancit Canton, Sisig, Halo-Halo,"San Antonio, Makati City"
Japanese Sushi,81 Seihai Sushi Lounge,Sushi, Sashimi, Maki Rolls, Nigiri, Temaki, Gyoza, Yakitori, Teriyaki Salmon, Tempura, Ramen,"Tomas Morato, Quezon City"
Asian Street Food,8th Street Food Hall,Street Tacos, Shawarma, Kebab, Burgers, Chicken Wings, Pizza, Sisig, Nachos, Fries, Rice Bowls,"South Caloocan, Caloocan City"
Asian,9 Spoons - The Bayleaf Hotel,Buffet, Filipino Dishes, Pasta Station, Salad Bar, Carving Station, Sushi, Dim Sum, Dessert Buffet, Fresh Seafood, Chocolate Fountain,"The Bayleaf Hotel, Intramuros, Manila, Manila"
Chinese,A Bite of Hunan,Hunan Beef, Kung Pao Chicken, Mapo Tofu, Hunan Pork, General Tso's Chicken, Eggplant with Garlic Sauce, Sweet and Sour Pork, Stir-Fried Shrimp, Hunan Lamb, Dan Dan Noodles,"Circuit Makati, Olympia, Makati City, Makati City"
Steak,A Steakhouse -  Acacia Hotel,Ribeye Steak, Tenderloin Steak, T-Bone Steak, Porterhouse Steak, New York Strip Steak, Filet Mignon, Rib Steak, Prime Rib, Wagyu Steak, Surf and Turf,"Acacia Hotel, Filinvest City, Muntinlupa City, Muntinlupa City"
Italian American,A Taste Of L.A,Pizza, Pasta, Ribs, Burgers, Chicken Wings, Tacos, Enchiladas, Quesadillas, Nachos, Cheesecake,"Tomas Morato, Quezon City"
Italian,A Veneto Pizzeria Ristorante,Pizza Margherita, Pepperoni Pizza, Four Cheese Pizza, Hawaiian Pizza, Vegetarian Pizza, Meat Lovers Pizza, Seafood Pizza, Pasta Carbonara, Spaghetti Bolognese, Lasagna,"Trinoma Mall, Bagong Pag-Asa, Quezon City, Quezon City"
Italian,A Veneto Pizzeria Ristorante,Pizza Margherita, Pepperoni Pizza, Four Cheese Pizza, Hawaiian Pizza, Vegetarian Pizza, Meat Lovers Pizza, Seafood Pizza, Pasta Carbonara, Spaghetti Bolognese, Lasagna,"SM City San Lazaro, Santa Cruz, Manila, Manila"
Italian,A Veneto Pizzeria Ristorante,Pizza Margherita, Pepperoni Pizza, Four Cheese Pizza, Hawaiian Pizza, Vegetarian Pizza, Meat Lovers Pizza, Seafood Pizza, Pasta Carbonara, Spaghetti Bolognese, Lasagna,"North Wing, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City"
Italian,A Veneto Pizzeria Ristorante,Pizza Margherita, Pepperoni Pizza, Four Cheese Pizza, Hawaiian Pizza, Vegetarian Pizza, Meat Lovers Pizza, Seafood Pizza, Pasta Carbonara, Spaghetti Bolognese, Lasagna,"Glorietta 3, Glorietta Complex, Makati CIty, Makati City"
Italian,A Veneto Pizzeria Ristorante,Pizza Margherita, Pepperoni Pizza, Four Cheese Pizza, Hawaiian Pizza, Vegetarian Pizza, Meat Lovers Pizza, Seafood Pizza, Pasta Carbonara, Spaghetti Bolognese, Lasagna,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City"
Mexican Finger Food,A'Toda Madre,Tacos, Quesadillas, Guacamole, Salsa, Taquitos, Churros, Nachos, Enchiladas, Elote, Tostadas,"Poblacion, Makati City"
Taiwanese Coffee,A-Rest-Tea Place,Bubble Tea, Milk Tea, Fruit Tea, Cheese Tea, Matcha Latte, Thai Tea, Roasted Milk Tea, Yakult Tea, Wintermelon Tea, Assam Black Tea,"Pamplona, Las PiÃ±as City"
Korean Korean BBQ,A-WON,Samgyeopsal, Bulgogi, Galbi, Kimchi Jjigae, Sundubu Jjigae, Bibimbap, Japchae, Tteokbokki, Korean Fried Chicken, Haemul Pajeon,"Commercenter, Filinvest City, Muntinlupa City, Muntinlupa City"
European Finger Food,ABV,Craft Cocktails, Signature Cocktails, Whiskey, Vodka, Gin, Rum, Tequila, Wine, Beer, Mocktails,"Bel-Air, Makati City"
Korean Korean BBQ,AJHM Korean BBQ House,Samgyeopsal, Bulgogi, Galbi, Kimchi Jjigae, Sundubu Jjigae, Bibimbap, Japchae, Tteokbokki, Korean Fried Chicken, Haemul Pajeon,"Santa Ana, Manila"
Middle Eastern Indian,AL-Sham Middle East Cuisine,Hummus, Falafel, Shawarma, Kebab, Mansaf, Baklava, Tabbouleh, Fatayer, Chicken Mandi, Baba Ganoush,"Ermita, Manila"
American Desserts,ALC,Cheesecake, Chocolate Brownie, Apple Pie, Ice Cream Sundae, Cupcake, Chocolate Mousse, Panna Cotta, Tiramisu, Fruit Tart, Red Velvet Cake,"Tomas Morato, Quezon City"
Asian American,ALTA by Relik,Truffle Fries, Beef Tacos, Chicken Wings, Nachos, Baked Mac and Cheese, Wagyu Burger, Margherita Pizza, Fish and Chips, Caesar Salad, Quesadilla,"Little Baguio, San Juan City"
Filipino,AMC Sizzling Palace,Sizzling Sisig, Lechon Kawali, Beef Bulalo, Kare-Kare, Sinigang na Baboy, Crispy Pata, Adobo, Bicol Express, Ginataang Gulay, Pancit Canton,"Fisher Mall, Del Monte, Quezon City, Quezon City"
Filipino,APU,Chicken Inasal, Pork Liempo, Lechon Manok, Grilled Bangus, Sinigang na Hipon, Adobo, Kare-Kare, Bicol Express, Ginataang Sitaw at Kalabasa, Pancit Bihon,"City of Dreams Manila, Entertainment City, ParaÃ±aque City, ParaÃ±aque City"
Middle Eastern Iranian,Ababu Persian Kitchen,Kebab, Chelo Kabab, Lamb Biryani, Hummus, Falafel, Shawarma, Zereshk Polo, Zaban, Fesenjan, Baklava,"Loyola Heights, Quezon City"
Middle Eastern Iranian,Ababu Persian Kitchen,Kebab, Chelo Kabab, Lamb Biryani, Hummus, Falafel, Shawarma, Zereshk Polo, Zaban, Fesenjan, Baklava,"Sampaloc, Manila"
Middle Eastern Iranian,Ababu Persian Kitchen,Kebab, Chelo Kabab, Lamb Biryani, Hummus, Falafel, Shawarma, Zereshk Polo, Zaban, Fesenjan, Baklava,"Malate, Manila"
Filipino,Abe,Crispy Pata, Kare-Kare, Sinigang na Baboy, Binagoongan, Adobong Pusit, Chicken Pandan, Pancit Canton, Lechon Kawali, Bulalo, Sisig,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City"
Filipino,Abe,Crispy Pata, Kare-Kare, Sinigang na Baboy, Binagoongan, Adobong Pusit, Chicken Pandan, Pancit Canton, Lechon Kawali, Bulalo, Sisig,"Serendra, Bonifacio Global City, Taguig City, Taguig City"
Filipino,Abe,Crispy Pata, Kare-Kare, Sinigang na Baboy, Binagoongan, Adobong Pusit, Chicken Pandan, Pancit Canton, Lechon Kawali, Bulalo, Sisig,"Solaire Resort & Casino, Entertainment City, ParaÃ±aque City, ParaÃ±aque City"
Filipino,Abe,Crispy Pata, Kare-Kare, Sinigang na Baboy, Binagoongan, Adobong Pusit, Chicken Pandan, Pancit Canton, Lechon Kawali, Bulalo, Sisig,"Trinoma Mall, Bagong Pag-Asa, Quezon City, Quezon City"
Filipino,Abe,Crispy Pata, Kare-Kare, Sinigang na Baboy, Binagoongan, Adobong Pusit, Chicken Pandan, Pancit Canton, Lechon Kawali, Bulalo, Sisig,"Entertainment Mall, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City"
Filipino,Abe,Crispy Pata, Kare-Kare, Sinigang na Baboy, Binagoongan, Adobong Pusit, Chicken Pandan, Pancit Canton, Lechon Kawali, Bulalo, Sisig,"Alabang Town Center, Alabang, Muntinlupa City, Muntinlupa City"
Seafood,Above Sea Level by Baypoint,Shrimp in a Bag, Seafood Bucket, Crispy Squid, Fish and Chips, Cajun Chicken, Calamari, Buffalo Wings, Grilled Tuna, Garlic Butter Shrimp, Buttered Corn,"The Yard Streetfood Cinema, Laging Handa, Tomas Morato, Quezon City, Quezon City"
Seafood,Above Sea Level by Baypoint,Shrimp in a Bag, Seafood Bucket, Crispy Squid, Fish and Chips, Cajun Chicken, Calamari, Buffalo Wings, Grilled Tuna, Garlic Butter Shrimp, Buttered Corn,"StrEat: Maginhawa Food Park, Teachers Village, Quezon City, Quezon City"
Seafood,Above Sea Level by Baypoint,Shrimp in a Bag, Seafood Bucket, Crispy Squid, Fish and Chips, Cajun Chicken, Calamari, Buffalo Wings, Grilled Tuna, Garlic Butter Shrimp, Buttered Corn,"Hole in One Food Hub, Pinagsama, Taguig City, Taguig City"
Street Food Filipino,Aboy's Fresh Lumpia,Fresh Lumpia, Fried Lumpia, Shanghai Lumpia, Vegetarian Lumpia, Lumpiang Ubod, Cheese Stick, Chicken Skin, Chicharon Bulaklak, Fried Calamari, Isaw,"SM Center Pasig, Ugong, Pasig City, Pasig City"
Street Food Filipino,Aboy's Fresh Lumpia,Fresh Lumpia, Fried Lumpia, Shanghai Lumpia, Vegetarian Lumpia, Lumpiang Ubod, Cheese Stick, Chicken Skin, Chicharon Bulaklak, Fried Calamari, Isaw,"Starmall Alabang, Filinvest City, Muntinlupa City, Muntinlupa City"
Mediterranean Indian Filipino Iranian,Abshar Fast Food,Shawarma, Kebab, Biryani, Falafel, Hummus, Samosa, Mandi, Moutabal, Dolma, Kunafa,"Lifestyle Arcade, Greenhills Shopping Centre, San Juan, City, San Juan City"
Spanish American Asian,Abuela's,Paella, Tapas, Churros, Jamon Serrano, Gambas al Ajillo, Tortilla EspaÃ±ola, Croquetas, Salmorejo, Albondigas, Patatas Bravas,"Legaspi Village, Makati City"
Japanese,Aburi,Sushi Platter, Sashimi, Tempura, Ramen, Udon, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"UP Town Center, Diliman, Quezon City, Quezon City"
Japanese,Aburi,Sushi Platter, Sashimi, Tempura, Ramen, Udon, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"Madison Galeries, Cupang, Muntinlupa City, Muntinlupa City"
Asian European American,Acaci - Acacia Hotel,Prime Rib, Lobster Thermidor, Seafood Paella, Truffle Pasta, Caesar Salad, Foie Gras, Oysters Rockefeller, Wagyu Steak, Chocolate Lava Cake, Tiramisu,"Acacia Hotel, Filinvest City, Muntinlupa City, Muntinlupa City"
International,Ace International Buffet - Ace Hotel & Suites,Sushi, Sashimi, Steak, Seafood, Dim Sum, Pizza, Pasta, Roast Carving Station, Salad Bar, Dessert Station,"Ace Hotel & Suites, Kapitolyo, Pasig City, Pasig City"
Filipino Grill American,Acustica Bistro & Lounge,Grilled Liempo, Buffalo Wings, Nachos, Sisig, Crispy Pata, Kare-Kare, Chicken Inasal, Tapa, Tocino, Adobo Flakes,"Sampaloc, Manila"
Coffee,Adam's Cafe - View Park Hotel,Brewed Coffee, Cappuccino, Latte, Mocha Frappuccino, Espresso, Macchiato, Americano, Affogato, Hot Chocolate, Matcha Latte,"Tagaytay City, Tagaytay City"
Italian Coffee,Adelisa Rowe Cafe,Carbonara, Aglio e Olio, Chicken Alfredo, Truffle Pasta, Margherita Pizza, Tiramisu, Chocolate Cake, Matcha Cheesecake, Blueberry Muffin, Espresso,"Sikatuna Village, Quezon City"
Filipino,Adobo Connection,Chicken Adobo, Pork Adobo, Adobong Kangkong, Adobo Flakes, Chicken Barbecue, Fried Chicken, Pork Barbecue, Adobong Sitaw, Adobong Talong, Adobong Pusit,"Marikina Heights, Marikina City"
Filipino,Adobo Connection,Chicken Adobo, Pork Adobo, Adobong Kangkong, Adobo Flakes, Chicken Barbecue, Fried Chicken, Pork Barbecue, Adobong Sitaw, Adobong Talong, Adobong Pusit,"Gateway Mall, Cubao, Quezon City, Quezon City"
Filipino,Adobo House,Chicken Adobo, Pork Adobo, Adobong Kangkong, Adobo Flakes, Chicken Barbecue, Fried Chicken, Pork Barbecue, Adobong Sitaw, Adobong Talong, Adobong Pusit,"The Food Park Manila, Diliman, Quezon City, Quezon City"
Filipino Grill Finger Food,After Twelve,Sisig, Buffalo Wings, Nachos, Chicken Fingers, Onion Rings, French Fries, Calamari, Mozzarella Sticks, Fish and Chips, Potato Skins,"Project 8, Quezon City"
Desserts Coffee,Afters Espresso & Desserts,Waffles, Crepes, Pancakes, Ice Cream, Milkshakes, Churros, Chocolate Lava Cake, Tiramisu, Cheesecake, Affogato,"Tomas Morato, Quezon City"
Healthy Food Bakery Italian French,Agape,Quinoa Salad, Caprese Salad, Ratatouille, Margherita Pizza, Bruschetta, Grilled Vegetable Panini, Mushroom Risotto, Eggplant Parmesan, CrÃ¨me BrÃ»lÃ©e, Fruit Platter,"Chimes Square, Tandang Sora, Quezon City, Quezon City"
Healthy Food Bakery Italian French,Agape,Quinoa Salad, Caprese Salad, Ratatouille, Margherita Pizza, Bruschetta, Grilled Vegetable Panini, Mushroom Risotto, Eggplant Parmesan, CrÃ¨me BrÃ»lÃ©e, Fruit Platter,"Ayala Malls The 30th, Ugong, Pasig City, Pasig City"
Mexican,Agave Mexican Cantina,Tacos, Burritos, Enchiladas, Guacamole, Quesadillas, Nachos, Chimichanga, Fajitas, Churros, Margarita,"Bonifacio High Street, Bonifacio Global City, Taguig City, Taguig City"
Mexican,Agave Mexican Cantina,Tacos, Burritos, Enchiladas, Guacamole, Quesadillas, Nachos, Chimichanga, Fajitas, Churros, Margarita,"Circuit Makati, Olympia, Makati City, Makati City"
Bakery Desserts,Agenda - Crowne Plaza Manila Galleria,Croissant, Danish, Pain au Chocolat, Eclair, Macarons, Red Velvet Cake, Fruit Tart, Tiramisu, Chocolate Truffle, Cheesecake,"Crowne Plaza Manila Galleria, Ortigas, Quezon City, Quezon City"
Japanese,Agezuki Japanese Cuisine,Sushi, Sashimi, Tempura, Ramen, Udon, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"Harbor Square, Malate, Manila, Manila"
Filipino,Agimat Foraging Bar and Kitchen,Adobo sa Dilaw, Crispy Pata, Sinigang na Lechon, Tinola, Bagnet, Kare-Kare, Beef Kaldereta, Bicol Express, Inasal, Laing,"Poblacion, Makati City"
Steak,Ahlee's,Ribeye Steak, Filet Mignon, T-Bone Steak, Porterhouse Steak, Striploin Steak, Wagyu Beef, Beef Tenderloin, Surf and Turf, Lamb Chops, Grilled Salmon,"Lamp Quarters, Santo NiÃ±o, Marikina City, Marikina City"
Chinese,Ahma's Kitchen,Peking Duck, Sweet and Sour Pork, Kung Pao Chicken, Mapo Tofu, Beef with Broccoli, Shrimp Fried Rice, Yang Chow Fried Rice, Xiao Long Bao, Hot and Sour Soup, Egg Tart,"Banawe, Quezon City"
Filipino,Aida's Chicken,Chicken Inasal, Fried Chicken, Chicken Barbecue, Chicken Wings, Chicken Tinola, Chicken Adobo, Chicken Sisig, Chicken Curry, Chicken Kare-Kare, Chicken Afritada,"Makati Cinema Square, Legaspi Village, Makati City, Makati City"
Japanese Sushi,Aiko Sushi/Mister Tahoo,Sushi, Sashimi, Tempura, Ramen, Udon, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"Fisher Mall, Del Monte, Quezon City, Quezon City"
Healthy Food,Aivee Cafe,Salad, Smoothie Bowl, Acai Bowl, Avocado Toast, Quinoa Bowl, Protein Shake, Detox Juice, Granola Parfait, Fresh Fruit Smoothie, Green Detox Smoothie,"Bonifacio Global City, Taguig City"
Japanese Ramen,Ajisen Ramen,Tonkotsu Ramen, Miso Ramen, Shoyu Ramen, Shio Ramen, Spicy Ramen, Chashu Ramen, Tan Tan Men, Gyoza, Takoyaki, Matcha Ice Cream,"Legaspi Village, Makati City"
Japanese Ramen,Ajisen Ramen,Tonkotsu Ramen, Miso Ramen, Shoyu Ramen, Shio Ramen, Spicy Ramen, Chashu Ramen, Tan Tan Men, Gyoza, Takoyaki, Matcha Ice Cream,"Robinsons Place Manila, Ermita, Manila, Manila"
Japanese Ramen,Ajisen Ramen,Tonkotsu Ramen, Miso Ramen, Shoyu Ramen, Shio Ramen, Spicy Ramen, Chashu Ramen, Tan Tan Men, Gyoza, Takoyaki, Matcha Ice Cream,"Robinsons Las PiÃ±as, Talon Uno, Las PiÃ±as City, Las PiÃ±as City"
Japanese Sushi,Akira,Sushi, Sashimi, Tempura, Ramen, Udon, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"Robinsons Magnolia, New Manila, Quezon City, Quezon City"
Japanese Sushi,Akira,Sushi, Sashimi, Tempura, Ramen, Udon, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"Alphaland Makati Place, Bel-Air, Makati City, Makati City"
Japanese Sushi,Akira,Sushi, Sashimi, Tempura, Ramen, Udon, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"Shangri-La Plaza, Ortigas, Mandaluyong City, Mandaluyong City"
Japanese Sushi,Akira,Sushi, Sashimi, Tempura, Ramen, Udon, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"Power Plant Mall, Rockwell, Makati City, Makati City"
Mediterranean,Akrotiri Modern Eurasian Cuisine,Greek Salad, Moussaka, Spanakopita, Souvlaki, Tzatziki, Beef Stroganoff, Chicken Kiev, Borscht, Beef Kebab, Tiramisu,"Commercenter, Filinvest City, Muntinlupa City, Muntinlupa City"
Arabian Mediterranean Middle Eastern,Al Dimashqi,Shawarma, Kebab, Hummus, Falafel, Shish Tawook, Mutabbal, Fatayer, Baklava, Kunafa, Turkish Coffee,"Malate, Manila"
Filipino,Alamat Filipino Pub & Deli,Sisig, Kare-Kare, Crispy Pata, Adobo, Sinigang, Lechon Kawali, Bagnet, Pancit Canton, Halo-Halo, Turon,"Poblacion, Makati City"
Filipino,Alamat Restaurant - Picnic Grove,Bulalo, Tawilis, Pork Sinigang, Chicken Inasal, Adobong Manok, Kare-Kare, Crispy Pata, Sisig, Lechon Kawali, Pancit Malabon,"Tagaytay City, Tagaytay City"
Spanish,Alba,Paella Valenciana, Callos, Fabada, Churros, Gambas al Ajillo, Pollo Iberico, Cochinillo Asado, Lengua Estofado, Tarta de Santiago, Flan,"Poblacion, Makati City"
Spanish,Alba,Paella Valenciana, Callos, Fabada, Churros, Gambas al Ajillo, Pollo Iberico, Cochinillo Asado, Lengua Estofado, Tarta de Santiago, Flan,"Westgate Center, Filinvest City, Mutinlupa City, Muntinlupa City"
